Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
27,26,5,5,22,20,47,Train/47/00047_00000_00001.png
28,27,5,6,23,22,47,Train/47/00047_00000_00002.png
29,26,6,5,24,21,47,Train/47/00047_00000_00003.png
28,27,5,6,23,22,47,Train/47/00047_00000_00004.png
28,26,5,5,23,21,47,Train/47/00047_00000_00005.png
31,27,6,5,26,22,47,Train/47/00047_00000_00006.png
31,28,6,6,26,23,47,Train/47/00047_00000_00007.png
31,28,6,6,26,23,47,Train/47/00047_00000_00008.png
31,29,5,6,26,24,47,Train/47/00047_00000_00009.png
34,32,6,6,29,26,47,Train/47/00047_00000_00010.png
36,33,5,6,31,28,47,Train/47/00047_00000_00011.png
37,34,5,6,32,29,47,Train/47/00047_00000_00012.png
38,34,5,6,32,29,47,Train/47/00047_00000_00013.png
40,34,6,6,34,29,47,Train/47/00047_00000_00014.png
39,34,5,5,34,29,47,Train/47/00047_00000_00015.png
42,36,6,5,37,31,47,Train/47/00047_00000_00016.png
45,39,6,5,40,34,47,Train/47/00047_00000_00017.png
47,42,5,5,41,36,47,Train/47/00047_00000_00018.png
50,45,5,5,45,40,47,Train/47/00047_00000_00019.png
55,49,6,5,49,43,47,Train/47/00047_00000_00020.png
56,51,6,6,51,46,47,Train/47/00047_00000_00021.png
59,54,5,5,54,49,47,Train/47/00047_00000_00022.png
64,57,6,5,59,52,47,Train/47/00047_00000_00023.png
70,61,6,5,64,56,47,Train/47/00047_00000_00024.png
76,69,6,6,70,63,47,Train/47/00047_00000_00025.png
86,75,8,6,79,69,47,Train/47/00047_00000_00026.png
97,87,8,7,89,80,47,Train/47/00047_00000_00027.png
111,100,9,8,102,92,47,Train/47/00047_00000_00028.png
131,119,12,11,120,109,47,Train/47/00047_00001_00000.png
166,152,15,14,152,139,47,Train/47/00047_00001_00001.png
29,31,5,6,24,26,47,Train/47/00047_00001_00002.png
31,30,6,5,25,25,47,Train/47/00047_00001_00003.png
31,31,5,6,26,26,47,Train/47/00047_00001_00004.png
33,31,6,5,28,25,47,Train/47/00047_00001_00005.png
34,32,5,6,29,27,47,Train/47/00047_00001_00006.png
36,33,6,6,30,27,47,Train/47/00047_00001_00007.png
37,34,6,6,32,29,47,Train/47/00047_00001_00008.png
37,34,5,5,31,28,47,Train/47/00047_00001_00009.png
38,36,5,6,33,31,47,Train/47/00047_00001_00010.png
38,35,5,5,33,30,47,Train/47/00047_00001_00011.png
40,37,5,6,35,32,47,Train/47/00047_00001_00012.png
41,37,5,5,36,31,47,Train/47/00047_00001_00013.png
43,39,5,6,37,33,47,Train/47/00047_00001_00014.png
44,39,6,6,39,34,47,Train/47/00047_00001_00015.png
44,39,5,5,39,34,47,Train/47/00047_00001_00016.png
45,41,5,6,40,35,47,Train/47/00047_00001_00017.png
47,41,6,6,42,36,47,Train/47/00047_00001_00018.png
44,42,5,6,39,37,47,Train/47/00047_00001_00019.png
45,42,5,6,40,37,47,Train/47/00047_00001_00020.png
50,42,6,5,45,37,47,Train/47/00047_00001_00021.png
50,43,5,5,45,38,47,Train/47/00047_00001_00022.png
51,44,5,5,46,39,47,Train/47/00047_00001_00023.png
54,46,6,6,48,41,47,Train/47/00047_00001_00024.png
55,47,6,5,50,42,47,Train/47/00047_00001_00025.png
57,49,6,6,51,44,47,Train/47/00047_00001_00026.png
59,51,6,6,53,46,47,Train/47/00047_00001_00027.png
59,52,5,6,54,47,47,Train/47/00047_00001_00028.png
63,54,6,5,58,48,47,Train/47/00047_00002_00000.png
65,56,6,6,59,51,47,Train/47/00047_00002_00001.png
69,58,6,5,63,53,47,Train/47/00047_00002_00002.png
