Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
27,26,5,5,22,20,43,Train/43/43_00002_00000.png
28,27,5,6,23,22,43,Train/43/43_00002_00001.png
29,26,6,5,24,21,43,Train/43/43_00002_00002.png
28,27,5,6,23,22,43,Train/43/43_00002_00003.png
28,26,5,5,23,21,43,Train/43/43_00002_00004.png
31,27,6,5,26,22,43,Train/43/43_00002_00005.png
31,28,6,6,26,23,43,Train/43/43_00002_00006.png
31,28,6,6,26,23,43,Train/43/43_00002_00007.png
31,29,5,6,26,24,43,Train/43/43_00002_00008.png
34,32,6,6,29,26,43,Train/43/43_00002_00009.png
36,33,5,6,31,28,43,Train/43/43_00002_00010.png
37,34,5,6,32,29,43,Train/43/43_00002_00011.png
38,34,5,6,32,29,43,Train/43/43_00002_00012.png
40,34,6,6,34,29,43,Train/43/43_00002_00013.png
39,34,5,5,34,29,43,Train/43/43_00002_00014.png
42,36,6,5,37,31,43,Train/43/43_00002_00015.png
45,39,6,5,40,34,43,Train/43/43_00002_00016.png
47,42,5,5,41,36,43,Train/43/43_00002_00017.png
50,45,5,5,45,40,43,Train/43/43_00002_00018.png
55,49,6,5,49,43,43,Train/43/43_00002_00019.png
56,51,6,6,51,46,43,Train/43/43_00002_00020.png
59,54,5,5,54,49,43,Train/43/43_00002_00021.png
64,57,6,5,59,52,43,Train/43/43_00002_00022.png
70,61,6,5,64,56,43,Train/43/43_00002_00023.png
76,69,6,6,70,63,43,Train/43/43_00002_00024.png
86,75,8,6,79,69,43,Train/43/43_00002_00025.png
97,87,8,7,89,80,43,Train/43/43_00002_00026.png
111,100,9,8,102,92,43,Train/43/43_00002_00027.png
131,119,12,11,120,109,43,Train/43/43_00002_00028.png
166,152,15,14,152,139,43,Train/43/43_00003_00000.png
29,31,5,6,24,26,43,Train/43/43_00003_00001.png
31,30,6,5,25,25,43,Train/43/43_00003_00002.png
31,31,5,6,26,26,43,Train/43/43_00003_00003.png
33,31,6,5,28,25,43,Train/43/43_00003_00004.png
34,32,5,6,29,27,43,Train/43/43_00003_00005.png
36,33,6,6,30,27,43,Train/43/43_00003_00006.png
37,34,6,6,32,29,43,Train/43/43_00003_00007.png
37,34,5,5,31,28,43,Train/43/43_00003_00008.png
38,36,5,6,33,31,43,Train/43/43_00003_00009.png
38,35,5,5,33,30,43,Train/43/43_00003_00010.png
40,37,5,6,35,32,43,Train/43/43_00003_00011.png
41,37,5,5,36,31,43,Train/43/43_00003_00012.png
43,39,5,6,37,33,43,Train/43/43_00003_00013.png
